成县,GS,CXT,105.7613,33.7312,980,100,BBVS-60,EDAS-24IP
迭部,GS,DBT,103.2304,34.0601,1400,100,BBVS-60,EDAS-24IP
敦煌,GS,DHT,94.8314,40.0401,1330,100,CMG-3ESPC,CMG-DM24
华池,GS,HCH,108.4608,36.2504,1193,100,CMG-3ESPC,CMG-DM24
铧尖,GS,HJT,102.0114,37.8314,2317,100,CMG-3ESPC,CMG-DM24
会宁,GS,HNT,105.0701,35.6911,1772,100,CMG-3ESPC,CMG-DM24
河西堡,GS,HXP,102.1102,38.3907,1700,100,BBVS-60,EDAS-24IP
环县,GS,HXT,107.2705,36.5896,1224,100,BBVS-60,EDAS-24IP
红崖山,GS,HYS,102.8314,38.4007,1455,100,BBVS-60,EDAS-24IP
合作,GS,HZT,102.9115,35.01,2900,100,BBVS-60,EDAS-24IP
金佛寺,GS,JFS,98.7412,39.3907,1998,100,BBVS-60,EDAS-24IP
静宁,GS,JNT,105.7713,35.5309,1730,100,CMG-3ESPC,CMG-DM24
景泰,GS,JTA,104.0902,37.1903,1645,100,BBVS-60,EDAS-24IP
临潭,GS,LTT,103.3606,34.6711,2703,100,CMG-3ESPC,CMG-DM24
临夏,GS,LXA,103.263,35.6275,1822,100,BBVS-60,EDAS-24IP
柳园,GS,LYT,95.5008,41.0901,1741,100,BBVS-60,EDAS-24IP
民勤,GS,MIQ,103.2504,39.07,1352,100,BBVS-60,EDAS-24IP
玛曲,GS,MQT,102.0601,34.02,3520,100,CMG-3ESPC,EDAS-24IP
岷县,GS,MXT,104.02,34.4307,2325,100,BBVS-60,EDAS-24IP
宁县,GS,NXT,107.9215,35.5609,925,100,CMG-3ESPC,CMG-DM24
平凉,GS,PLT,106.6811,35.4508,1478,100,BBVS-60,EDAS-24IP
青头山,GS,QTS,97.7412,39.7003,2572,100,BBVS-60,EDAS-24IP
石包城,GS,SBC,95.9215,39.4908,1129,100,BBVS-60,EDAS-24IP
山丹,GS,SDT,101.333,38.7713,1770,100,BBVS-60,EDAS-24IP
四个山,GS,SGS,103.8845,37.5356,1678,100,CMG-3ESPC,CMG-DM24
石岗,GS,SGT,102.7613,37.621,1920,100,BBVS-60,EDAS-24IP
肃南,GS,SNT,99.611,38.8414,2323,100,BBVS-60,EDAS-24IP
武都,GS,WDT,104.9917,33.3606,1060,100,BBVS-60,EDAS-24IP
武山,GS,WSH,105.05,34.6611,1757,100,BBVS-60,EDAS-24IP
文县,GS,WXT,104.6811,32.9516,980,100,BBVS-60,EDAS-24IP
渭源,GS,WYT,104.1,35.04,2320,100,CMG-3ESPC,CMG-DM24
永登,GS,YDT,103.3205,36.8013,2318,100,CMG-3ESPC,CMG-DM24
俞井子,GS,YJZ,98.6411,40.3907,1359,100,BBVS-60,EDAS-24IP
玉门关,GS,YMG,93.6611,40.5208,1123,100,BBVS-60,EDAS-24IP
青凹峡,GS,YWX,96.9015,41.0906,1869,100,BBVS-60,EDAS-24IP
张家川,GS,ZHC,106.3005,34.9316,1723,100,CMG-3ESPC,CMG-DM24
舟曲,GS,ZHQ,104.3806,33.8114,1460,100,CMG-3ESPC,EDAS-24IP
张掖,GS,ZHY,100.5309,39.0915,1501,100,CMG-3ESPC,CMG-DM24
桂林,GX,GUL,110.3661,25.2911,198,100,CTS-1,ESAS-24IP
河池,GX,HCS,108.0215,24.6729,187,100,CTS-1,ESAS-24GN
灵山,GX,LNS,109.2801,22.4202,67,100,JCZ-1,EDAS-24L
凭祥,GX,PXS,106.7512,22.1301,227,100,CTS-1,EDAS-24L
北海,GX,BHS,109.2125,21.6525,47,100,CMG-3ESPC,EDAS-24IP
百色,GX,BSS,106.5565,23.8951,179,100,CMG-3ESPC,EDAS-24IP
崇左,GX,CZS,107.354,22.3734,99,100,CMG-3ESPC,EDAS-24IP
大化,GX,DHX,107.9883,23.7489,185,100,CMG-3ESPC,EDAS-24IP
东兴,GX,DXS,107.4966,21.6718,90,100,CMG-3ESPC,EDAS-24IP
大新,GX,DXX,107.186,22.8385,242,100,CMG-3ESPC,EDAS-24IP
贵港,GX,GGS,109.618,23.0553,110,100,CMG-3ESPC,EDAS-24IP
贺州,GX,HZS,111.5674,24.4258,142,100,CMG-3ESPC,EDAS-24IP
南宁,GX,NNS,108.1512,22.8911,367,100,CMG-3ESPC,EDAS-24IP
平果,GX,PGX,107.5781,23.3277,101,100,CMG-3ESPC,EDAS-24IP
平南,GX,PNX,110.4351,23.6136,70,100,CMG-3ESPC,EDAS-24IP
钦州,GX,QZS,108.6368,22.276,407,100,CMG-3ESPC,ESAS-24IP
天峨,GX,TE,107.168,24.9823,313,100,CMG-3ESPC,EDAS-24IP
涠州岛,GX,WZD,109.1015,21.0306,33,100,CMG-3ESPC,EDAS-24IP
梧州,GX,WZS,111.2339,23.4808,25,100,CMG-3ESPC,EDAS-24IP
忻城,GX,XCT,108.6101,23.9483,220,100,CMG-3ESPC,EDAS-24IP
玉林,GX,YLS,110.173,22.6351,81,100,CMG-3ESPC,EDAS-24IP
岩滩,GX,YTT,107.5175,24.0293,291,100,CMG-3ESPC,EDAS-24IP
德江,GZ,DJT,108.13,28.22,550,100,CTS-1,EDAS-24L
六盘水,GZ,LPS,104.77,26.65,2142,100,KS-2000(120s),SMART-24
兴义,GZ,XYT,104.9,25.04,1191,100,BBVS-60,EDAS-24IP
安顺,GZ,AST,106.0552,26.1518,1307,100,BBVS-60,EDAS-24IP
毕节,GZ,BJT,105.3497,27.2435,1464.5,100,BBVS-60,EDAS-24IP
凯里,GZ,KLT,107.986,26.5438,980.4,100,BBVS-60,EDAS-24IP
荔波,GZ,LBT,108.0274,25.3226,556,100,BBVS-60,EDAS-24IP
罗甸,GZ,LDT,106.7488,25.4249,431.1,100,BBVS-60,EDAS-24IP
黎平,GZ,LPT,109.217,26.1787,472.22,100,BBVS-60,EDAS-24IP
威宁,GZ,WNT,104.3029,26.9072,2324.3,100,BBVS-60,EDAS-24IP
玉屏,GZ,YPT,108.8132,27.2121,428.4,100,BBVS-60,EDAS-24IP
贞丰,GZ,ZFT,105.629,25.3872,1049,100,BBVS-60,EDAS-24IP
遵义,GZ,ZYT,106.851,27.7663,896.4,100,BBVS-60,EDAS-24IP
洛阳,HA,LYN,112.47,34.55,170,100,CTS-1EF,EDAS-24IP
南阳,HA,NY,112.27,33.14,250,100,KS-2000(120s),SMART-24
信阳,HA,XY,114.012,32.1326,87,100,CTS-1E,EDAS-24IP
安阳,HA,AY,114.296,36.0841,83,100,FSS-3DBH(2s),EDAS-24IP
大安,HA,DA,111.32,34.8,339,100,BBVS-60,EDAS-24IP
航海,HA,HH,113.61,34.71,111,100,FSS-3DBH(2s),EDAS-24IP
辉县,HA,HX,113.441,35.4475,485.3,100,BBVS-60,EDAS-24IP
尖山,HA,JS,113.24,34.61,150,100,BBVS-60,EDAS-24IP
济源,HA,JY,112.449,35.1629,295,100,BBVS-60,EDAS-24IP
焦作,HA,JZ,113.213,35.2675,238,100,BBVS-60,EDAS-24IP
卢氏,HA,LS,111.04,34.0183,595,100,CMG-3ESPC,EDAS-24IP
